radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,404,78,4101,14153,0,77.414474487305,23.272476196289002,1000,1,1,1435796230,1435796230,0
GSM,404,78,4101,22941,0,77.42546081543,23.287582397460998,1000,1,1,1435795897,1435795897,0
GSM,404,78,4101,22061,0,77.419967651367,23.279342651367003,1000,1,1,1435796230,1435796230,0
GSM,404,78,4101,22306,0,77.414474487305,23.269729614257997,1000,1,1,1435796227,1435796227,0
GSM,404,78,4101,20304,0,77.41722106933601,23.273849487305004,1000,1,1,1435796245,1435796245,0
GSM,404,78,4101,30314,0,77.426834106445,23.288955688477,1000,1,1,1435796230,1435796230,0
GSM,404,78,4101,30319,0,77.39112854003899,23.291702270507997,1000,1,1,1435795897,1435795897,0
GSM,404,78,4101,32061,0,77.41584777832,23.273849487305004,1000,1,1,1435796227,1435796227,0
GSM,404,78,4101,20490,0,77.414474487305,23.271102905273,1000,1,1,1435795897,1435795897,0
GSM,404,78,4101,30486,0,77.41310119628899,23.266983032227,1000,1,1,1435796227,1435796227,0
GSM,404,78,4105,30294,0,77.332077026367,23.273849487305004,1000,1,1,1435796245,1435796245,0
GSM,404,78,4105,12304,0,77.414474487305,23.231277465820003,1000,1,1,1444291458,1444291458,0
GSM,404,78,4105,20492,0,77.34718322753899,23.275222778320003,1000,1,1,1435795897,1435795897,0
GSM,404,78,4105,22037,0,77.39524841308601,23.225784301757997,1000,1,1,1439786165,1439786165,0
GSM,404,78,4105,20523,0,77.39524841308601,23.232650756835998,1000,1,1,1444291458,1444291458,0
GSM,404,78,4107,31329,0,77.451553344727,23.313674926757997,1000,1,1,1435796227,1435796227,0
GSM,404,78,4107,21251,0,77.46940612793,23.327407836914002,1000,1,1,1435796211,1435796211,0
GSM,404,78,1102,64461,0,77.430953979492,23.212051391602,1000,1,1,1435103337,1435103337,0
GSM,404,78,1150,7247,0,77.374649047852,23.209304809570003,1000,1,1,1439031434,1439031434,0
GSM,404,78,4101,12061,0,77.419967651367,23.280715942382997,1000,1,1,1435796224,1435796224,0
GSM,404,78,4101,40506,0,77.42408752441399,23.231277465820003,1000,1,1,1444291458,1444291458,0
GSM,404,78,4101,10314,0,77.436447143555,23.301315307617003,1000,1,1,1435796227,1435796227,0
GSM,404,78,4101,24309,0,77.41310119628899,23.268356323242003,1000,1,1,1435795897,1435795897,0
GSM,404,78,4101,20305,0,77.430953979492,23.253250122070003,1000,1,1,1442576581,1442576581,0
GSM,404,78,4101,33057,0,77.399368286133,23.290328979492003,1000,1,1,1435795897,1435795897,0
GSM,404,78,4101,24205,0,77.414474487305,23.272476196289002,1000,1,1,1435795897,1435795897,0
GSM,404,78,4101,20514,0,77.430953979492,23.253250122070003,1000,1,1,1442576896,1442576896,0
GSM,404,78,4101,20316,0,77.399368286133,23.290328979492003,1000,1,1,1435795897,1435795897,0
GSM,404,78,4101,34079,0,77.414474487305,23.229904174805004,1000,1,1,1444291458,1444291458,0
GSM,404,78,4101,30304,0,77.419967651367,23.279342651367003,1000,1,1,1435796230,1435796230,0
GSM,404,78,4101,10304,0,77.418594360352,23.276596069335998,1000,1,1,1435796224,1435796224,0
GSM,404,78,4105,21542,0,77.356796264648,23.276596069335998,1000,1,1,1435796224,1435796224,0
GSM,404,78,4105,21997,0,77.41584777832,23.273849487305004,1000,1,1,1435796224,1435796224,0
GSM,404,78,4105,20499,0,77.389755249023,23.290328979492003,1000,1,1,1435796245,1435796245,0
GSM,404,78,4105,10312,0,77.333450317383,23.273849487305004,1000,1,1,1435796227,1435796227,0
GSM,404,78,4105,21983,0,77.348556518555,23.275222778320003,1000,1,1,1435796224,1435796224,0
GSM,404,78,4105,31951,0,77.39112854003899,23.291702270507997,1000,1,1,1435796227,1435796227,0
GSM,404,78,4108,11368,0,77.286758422852,23.268356323242003,1000,1,1,1435796238,1435796238,0
GSM,404,78,4109,10507,0,77.399368286133,23.224411010742003,1000,1,1,1439786165,1439786165,0
GSM,404,78,4108,11424,0,77.389755249023,23.227157592773,1000,1,1,1439786165,1439786165,0
GSM,404,78,4108,32888,0,77.300491333008,23.269729614257997,1000,1,1,1435795901,1435795901,0
GSM,404,78,4108,31252,0,77.330703735352,23.183212280273,1000,1,1,1444291568,1444291568,0
GSM,404,78,4109,10329,0,77.40211486816399,23.224411010742003,1000,1,1,1443061399,1443061399,0
GSM,404,78,4111,10513,0,77.43782043457,23.305435180664002,1000,1,1,1435796227,1435796227,0
GSM,404,78,1102,64464,0,77.436447143555,23.214797973632997,1000,1,1,1434569914,1434569914,0
GSM,404,78,1102,63352,0,77.44606018066399,23.229904174805004,1000,1,1,1443221258,1443221258,0
GSM,404,78,4101,10299,0,77.411727905273,23.265609741210998,1000,1,1,1435796227,1435796227,0
GSM,404,78,4101,12654,0,77.433700561523,23.249130249023,1000,1,1,1446880034,1446880034,0
GSM,404,78,4101,14292,0,77.429580688477,23.247756958007997,1000,1,1,1440942573,1440942573,0
GSM,404,78,4101,20518,0,77.436447143555,23.234024047852,1000,1,1,1440400171,1440400171,0
GSM,404,78,4101,10493,0,77.399368286133,23.290328979492003,1000,1,1,1435795897,1435795897,0
GSM,404,78,4101,34053,0,77.414474487305,23.272476196289002,1000,1,1,1435796230,1435796230,0
GSM,404,78,4101,30518,0,77.43507385253899,23.232650756835998,1000,1,1,1440400171,1440400171,0
GSM,404,78,4101,14333,0,77.389755249023,23.290328979492003,1000,1,1,1435796227,1435796227,0
GSM,404,78,4101,31985,0,77.43782043457,23.243637084960998,1000,1,1,1440400171,1440400171,0
GSM,404,78,4101,30299,0,77.418594360352,23.276596069335998,1000,1,1,1435796224,1435796224,0
GSM,404,78,4101,21449,0,77.436447143555,23.302688598632997,1000,1,1,1435795897,1435795897,0
GSM,404,78,4101,30489,0,77.41310119628899,23.266983032227,1000,1,1,1435796224,1435796224,0
GSM,404,78,4105,34023,0,77.355422973633,23.276596069335998,1000,1,1,1435796227,1435796227,0
GSM,404,78,4105,10499,0,77.387008666992,23.290328979492003,1000,1,1,1435795897,1435795897,0
GSM,404,78,4107,11329,0,77.46940612793,23.327407836914002,1000,1,1,1435796206,1435796206,0
GSM,404,78,4105,32037,0,77.38014221191399,23.217544555664002,1000,1,1,1443061399,1443061399,0
GSM,404,78,4105,30492,0,77.343063354492,23.275222778320003,1000,1,1,1435796230,1435796230,0
GSM,404,78,4108,20509,0,77.35816955566399,23.202438354492003,1000,1,1,1442545562,1442545562,0
GSM,404,78,4107,21448,0,77.436447143555,23.302688598632997,1000,1,1,1435796224,1435796224,0
GSM,404,78,4108,22888,0,77.316970825195,23.272476196289002,1000,1,1,1435796230,1435796230,0
GSM,404,78,1102,16011,0,77.44606018066399,23.229904174805004,1000,1,1,1443221258,1443221258,0
GSM,404,78,1101,16931,0,77.41310119628899,23.232650756835998,1000,1,1,1435103337,1435103337,0
GSM,404,78,1150,38073,0,77.40623474121101,23.242263793944996,1000,1,1,1439263621,1439263621,0
GSM,404,78,1102,17602,0,77.44606018066399,23.229904174805004,1000,1,1,1443221258,1443221258,0
GSM,404,78,1152,55752,0,77.43507385253899,23.194198608398,1000,1,1,1435051283,1435051283,0
GSM,404,78,4101,22654,0,77.432327270508,23.247756958007997,1000,1,1,1439786165,1439786165,0
GSM,404,78,4101,10489,0,77.414474487305,23.268356323242003,1000,1,1,1435796224,1435796224,0
GSM,404,78,4101,31449,0,77.42820739746101,23.291702270507997,1000,1,1,1435796230,1435796230,0
