,radio,lon,lat,range,TowerID
142,GSM,77.388019,23.229386,1000,40493-39045-20956
143,GSM,77.388159,23.229681,1000,40493-39045-38423
144,GSM,77.388367,23.228367,1000,40493-39045-20958
145,GSM,77.376643,23.218085,1000,40493-39045-38433
146,GSM,77.372527,23.21692,1000,40493-39045-24633
147,GSM,77.37040999999998,23.217246,1000,40493-39045-38531
148,GSM,77.38472,23.224869,1000,40493-7207-38262
149,GSM,77.43425,23.229355,1000,40493-39045-36712
150,GSM,77.39112854003899,23.229904174805004,1000,40493-39045-20957
151,GSM,77.392501831055,23.231277465820003,1000,40493-39045-38422
152,GSM,77.395248,23.232847,1000,40493-39045-38421
153,GSM,77.396896,23.234436,1000,40493-39045-36583
154,GSM,77.398605,23.235397,1000,40493-39045-13573
155,GSM,77.399368286133,23.235397338867003,1000,40493-39045-13572
156,GSM,77.408905,23.233414,1000,40493-39045-51763
157,GSM,77.412003,23.232651,1000,40493-39045-51762
158,GSM,77.415063,23.231474,1000,40493-39045-38164
159,GSM,77.4188,23.231277,1000,40493-39045-38161
160,GSM,77.428463,23.217161,1000,40493-39045-58241
161,GSM,77.432327270508,23.195571899414002,1000,40493-39045-24651
162,GSM,77.42408752441399,23.209304809570003,1000,40493-39045-51661
163,GSM,77.432327270508,23.206558227539002,1000,40493-39045-38181
164,GSM,77.418594,23.214455,1000,40493-39045-13521
165,GSM,77.420766,23.217385,1000,40493-39045-39331
166,GSM,77.433112,23.231768,1000,40478-31000-10411
167,GSM,77.43418199999998,23.233159,1000,40478-31000-10822
168,GSM,77.433700561523,23.235397338867003,1000,40478-31000-10163
169,GSM,77.433700561523,23.235397338867003,1000,40478-31000-10231
170,GSM,77.433701,23.229675,1000,40478-31000-10232
171,GSM,77.434044,23.229218,1000,40478-31000-10723
172,GSM,77.43576,23.225784,1000,40478-31000-10213
173,GSM,77.436667,23.223862,1000,40478-31000-10141
174,GSM,77.439651,23.218117000000003,1000,40478-31000-10142
175,GSM,77.440784,23.214292,1000,40478-31000-10903
176,GSM,77.438703,23.21676,1000,40478-31000-10221
177,GSM,77.436447,23.21434,1000,40478-31000-10223
178,GSM,77.436752,23.210754,1000,40478-31000-10222
179,GSM,77.436447,23.207245,1000,40478-31000-10481
180,GSM,77.435312,23.207877,1000,40478-31000-10483
181,GSM,77.43507385253899,23.229904174805004,1000,40478-31000-10593
182,GSM,77.434276,23.229107,1000,40478-31000-10722
183,GSM,77.434191,23.230885,1000,40478-31000-10412
184,GSM,77.43507385253899,23.234024047852,1000,40478-31000-10161
185,GSM,77.434158,23.231735,1000,40478-31000-10162
186,GSM,77.43782,23.203468,1000,40478-31000-10031
187,GSM,77.436683,23.205499,1000,40478-31000-10482
188,GSM,77.41905200000002,23.21196,1000,40478-31000-10841
189,GSM,77.421757,23.202979,1000,40478-31000-10842
190,GSM,77.41722106933601,23.201065063477,1000,40478-31000-10343
191,GSM,77.41869,23.198063,1000,40478-31000-11131
192,GSM,77.422714233398,23.201065063477,1000,40478-31000-10342
193,GSM,77.429792,23.20265,1000,40478-31000-10523
194,GSM,77.429580688477,23.202438354492003,1000,40478-31000-10522
195,GSM,77.430953979492,23.196945190430004,1000,40478-31000-10251
196,GSM,77.438327,23.191567000000006,1000,40478-31000-10252
197,GSM,77.442481,23.190578,1000,40478-31000-10032
198,GSM,77.444312,23.187332,1000,40478-31000-10423
199,GSM,77.443313598633,23.187332153320003,1000,40478-31000-10541
200,GSM,77.432327270508,23.231277465820003,1000,40478-31000-10672
201,GSM,77.400948,23.231277,1000,40478-31000-10262
202,GSM,77.401199,23.231277,1000,40478-31000-10263
203,GSM,77.401199,23.231277,1000,40478-31000-10133
204,GSM,77.405842,23.225588,1000,40478-31000-10491
205,GSM,77.40623474121101,23.225784301757997,1000,40478-31000-10492
206,GSM,77.39524841308601,23.210678100585998,1000,40478-31000-10633
207,GSM,77.39524841308601,23.214797973632997,1000,40478-31000-10631
208,GSM,77.404273,23.220291,1000,40478-31000-10493
209,GSM,77.404861450195,23.221664428710998,1000,40478-31000-10923
210,GSM,77.42546081543,23.207931518555004,1000,40478-31000-10013
211,GSM,77.433701,23.235168,1000,40478-31000-10772
212,GSM,77.410354614258,23.264236450194996,1000,40467-11301-31458
213,GSM,77.430953979492,23.210678100585998,1000,40458-1012-1449
214,GSM,77.430954,23.21072,1000,40458-1001-1028
215,GSM,77.430953979492,23.210678100585998,1000,40458-1012-1119
216,UMTS,77.39250200000002,23.245926,1000,40478-33031-19879077
217,UMTS,77.4646,23.260117,1000,40478-33031-19880017
218,GSM,77.48176574707,23.192825317382997,1000,40493-39045-58381
219,GSM,77.377395629883,23.261489868164002,1000,40467-61301-9563
220,GSM,77.377395629883,23.261489868164002,1000,40467-61301-9972
221,GSM,77.421341,23.294907,1000,40493-7192-36073
222,GSM,77.421340942383,23.243637084960998,1000,40493-7192-27257
223,UMTS,77.431872,23.236314,3725,40458-5001-19727983
224,UMTS,77.404861450195,23.265609741210998,1000,40458-5001-19728024
225,UMTS,77.404861450195,23.265609741210998,1000,40458-5001-19727414
226,GSM,77.40348815918,23.264236450194996,1000,40467-61301-44311
227,GSM,77.40280200000002,23.26561,1000,40467-61301-34351
228,GSM,77.404861450195,23.265609741210998,1000,40467-61301-44313
229,UMTS,77.421341,23.253937,1000,40478-33031-19878906
